,Monthly_Avg_Sentiment,Monthly_Avg_Close_Price
2019-12-31,0.6129032258064516,73.41
2020-01-31,0.38886905227431284,77.84129032258065
2020-02-29,0.20755091519273047,77.99689655172413
2020-03-31,-0.031280240143134345,65.60645161290323
2020-04-30,0.1688664222021111,67.82033333333334
2020-05-31,0.24784196554637775,77.46903225806452
2020-06-30,0.2748797840729438,86.29366666666667
2020-07-31,0.5250949886639539,95.00741935483872
2020-08-31,0.6525375622661814,116.97548387096774
2020-09-30,0.49978694223005665,114.75833333333334
2020-10-31,0.5210287186209371,116.06612903225808
2020-11-30,0.48349696026484285,116.839
2020-12-31,0.6637498045433842,127.06258064516129
2021-01-31,0.633901462444215,132.68870967741935
2021-02-28,0.5749031254519259,131.46392857142857
2021-03-31,0.5288457624164332,121.62387096774194
2021-04-30,0.6417006731480548,131.33433333333335
2021-05-31,0.5086408620992565,127.05193548387098
2021-06-30,0.5492795316414588,129.757
2021-07-31,0.5793491808915137,144.9609677419355
2021-08-31,0.5487398077354954,148.05903225806452
2021-09-30,0.4807320029043078,148.70766666666668
2021-10-31,0.4674907257279641,145.63225806451615
2021-11-30,0.6070837649870183,154.619
2021-12-31,0.4597260848401456,173.2858064516129
2022-01-31,0.4394112731737144,170.36774193548385
2022-02-28,0.38985148347361015,169.45592592592595
